2014-12-17 04:40:35:0965, setup_loaddata_begin
2014-12-17 04:40:37:0573, setup_loaddata_end
2014-12-17 04:40:37:0603, setup_createactions_begin
2014-12-17 04:40:37:0773, setup_createactions_end
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418852436540L,lastactivitydate=0L,tags=,score=73,searchfield=]
2014-12-17 04:41:28:0947, answer_open, VisualItem[tree.nodes,9,id=1982033,type=20,title=,body=<p>You don't actually need a 3rd party package. Windows has a reg utility for all registry operations. To get the command format, go to the DOS propmt and type:</p>

<pre><code>reg /?
</code></pre>

<p>You can invoke <em>reg</em> through the Runtime class:</p>

<pre><code>Runtime.getRuntime().exec("reg &lt;your parameters here&gt;");
</code></pre>

<p>Editing keys and adding new ones is straightforward using the command above. To read the registry, you need to get <em>reg</em>'s output, and it's a little tricky. Here's the code:</p>

<pre><code>import java.io.IOException;
import java.io.InputStream;
import java.io.StringWriter;

/**
 * @author Oleg Ryaboy, based on work by Miguel Enriquez 
 */
public class WindowsReqistry {

    /**
     * 
     * @param location path in the registry
     * @param key registry key
     * @return registry value or null if not found
     */
    public static final String readRegistry(String location, String key){
        try {
            // Run reg query, then read output with StreamReader (internal class)
            Process process = Runtime.getRuntime().exec("reg query " + 
                    '"'+ location + "\" /v " + key);

            StreamReader reader = new StreamReader(process.getInputStream());
            reader.start();
            process.waitFor();
            reader.join();
            String output = reader.getResult();

            // Output has the following format:
            // \n&lt;Version information&gt;\n\n&lt;key&gt;\t&lt;registry type&gt;\t&lt;value&gt;
            if( ! output.contains("\t")){
                    return null;
            }

            // Parse out the value
            String[] parsed = output.split("\t");
            return parsed[parsed.length-1];
        }
        catch (Exception e) {
            return null;
        }

    }

    static class StreamReader extends Thread {
        private InputStream is;
        private StringWriter sw= new StringWriter();

        public StreamReader(InputStream is) {
            this.is = is;
        }

        public void run() {
            try {
                int c;
                while ((c = is.read()) != -1)
                    sw.write(c);
            }
            catch (IOException e) { 
        }
        }

        public String getResult() {
            return sw.toString();
        }
    }
    public static void main(String[] args) {

        // Sample usage
        String value = WindowsReqistry.readRegistry("HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\" 
                 + "Explorer\\Shell Folders", "Personal");
        System.out.println(value);
    }
}
</code></pre>

<hr>
,solution=,x=0.0,y=0.0,viewcount=0,answercount=0,acceptedanswerid=-1,owner=Anonymous,lasteditdate=1418852436540L,lastactivitydate=0L,tags=,score=73,searchfield=]
2014-12-17 04:41:28:0947, diag_detail_itementered, id=1982033, type=20
2014-12-17 04:41:28:0987, diag_detail_itemexited, id=1982033, type=20
2014-12-17 04:41:29:0177, diag_detail_itementered, id=-1972766596, type=3
2014-12-17 04:41:29:0247, diag_detail_itemexited, id=-1972766596, type=3
2014-12-17 04:41:29:0911, diag_detail_itementered, id=62289, type=1
2014-12-17 04:41:30:0081, diag_detail_itemexited, id=62289, type=1
2014-12-17 04:41:30:0251, diag_detail_itementered, id=0.2836994278388495, type=1
2014-12-17 04:41:30:0281, diag_detail_itemexited, id=0.2836994278388495, type=1
2014-12-17 04:41:30:0341, diag_detail_itementered, id=32586, type=1
2014-12-17 04:41:30:0361, diag_detail_itemexited, id=32586, type=1
2014-12-17 04:41:30:0631, diag_detail_itementered, id=36832, type=1
2014-12-17 04:41:30:0661, diag_detail_itemexited, id=36832, type=1
2014-12-17 04:41:30:0661, diag_detail_itementered, id=56943, type=1
2014-12-17 04:41:30:0671, diag_detail_itemexited, id=56943, type=1
2014-12-17 04:41:30:0671, diag_detail_itementered, id=0.09472884931524506, type=1
2014-12-17 04:41:30:0701, diag_detail_itemexited, id=0.09472884931524506, type=1
2014-12-17 04:41:30:0721, diag_detail_itementered, id=0.6508916059841209, type=1
2014-12-17 04:41:30:0741, diag_detail_itemexited, id=0.6508916059841209, type=1
2014-12-17 04:41:30:0751, diag_detail_itementered, id=0.032703970431435914, type=1
2014-12-17 04:41:30:0771, diag_detail_itemexited, id=0.032703970431435914, type=1
2014-12-17 04:41:30:0851, diag_detail_itementered, id=0.3802944174064138, type=1
2014-12-17 04:41:30:0891, diag_detail_itemexited, id=0.3802944174064138, type=1
2014-12-17 04:41:31:0111, diag_detail_itementered, id=10042, type=1
2014-12-17 04:41:31:0131, diag_detail_itemexited, id=10042, type=1
